round,grad_computations,train_loss,drift,grad_norm,h_label,radius,ball_hits,mean_hit_step,cos_client,cos_agg,cos_client_exact
0,0,2.303516,5.302754e+00,6.629946e-01,0.700099,,,,,,
10,32000,1.545086,8.520952e+00,1.626464e+00,0.700099,,,,,,
20,63673,0.837065,7.388088e+00,1.418557e+00,0.700099,,,,,,
30,95648,0.507243,5.796140e+00,9.077982e-01,0.700099,,,,,,
40,127321,0.374333,4.614846e+00,6.074811e-01,0.700099,,,,,,
50,159296,0.295106,3.940939e+00,4.151588e-01,0.700099,,,,,,
60,190969,0.249558,3.411421e+00,3.116489e-01,0.700099,,,,,,
70,222884,0.215021,3.096867e+00,4.550305e-01,0.700099,,,,,,
80,254617,0.193031,2.828661e+00,3.109881e-01,0.700099,,,,,,
90,286532,0.172086,2.615047e+00,2.145981e-01,0.700099,,,,,,
100,318265,0.159035,2.460212e+00,2.945731e-01,0.700099,,,,,,
110,350180,0.147567,2.375843e+00,3.011004e-01,0.700099,,,,,,
120,381913,0.137205,2.211041e+00,2.701178e-01,0.700099,,,,,,
130,413791,0.127410,2.145060e+00,3.299830e-01,0.700099,,,,,,
140,445501,0.120638,2.038888e+00,1.546845e-01,0.700099,,,,,,
150,477399,0.113168,1.932489e+00,1.491885e-01,0.700099,,,,,,
160,509149,0.108561,1.913320e+00,2.091092e-01,0.700099,,,,,,
170,540936,0.103455,1.832059e+00,1.738864e-01,0.700099,,,,,,
180,572797,0.099212,1.806260e+00,2.473074e-01,0.700099,,,,,,
190,604584,0.094845,1.734218e+00,1.405625e-01,0.700099,,,,,,
200,636445,0.091148,1.687108e+00,1.853227e-01,0.700099,,,,,,
210,668172,0.102402,3.946190e+00,2.349481e+00,0.700099,,,,,,
220,700093,0.086203,1.577888e+00,2.007957e-01,0.700099,,,,,,
230,731820,0.082958,1.518482e+00,1.499500e-01,0.700099,,,,,,
240,763704,0.079426,1.516978e+00,1.653387e-01,0.700099,,,,,,
