round,grad_computations,train_loss,drift,grad_norm,h_label,radius,ball_hits,mean_hit_step,cos_client,cos_agg,cos_client_exact
0,0,2.309732,7.331754e+00,8.913017e-01,0.900220,,,,,,
10,32000,1.684349,1.063468e+01,1.558791e+00,0.900220,,,,,,
20,63717,1.126254,9.558316e+00,1.736003e+00,0.900220,,,,,,
30,95712,0.744927,8.240930e+00,1.293741e+00,0.900220,,,,,,
40,127429,0.566369,7.025125e+00,1.032121e+00,0.900220,,,,,,
50,159424,0.452003,6.035958e+00,7.185507e-01,0.900220,,,,,,
60,191141,0.369382,5.335968e+00,5.591809e-01,0.900220,,,,,,
70,223075,0.321495,4.856699e+00,6.111682e-01,0.900220,,,,,,
80,254853,0.282659,4.343572e+00,5.026171e-01,0.900220,,,,,,
90,286787,0.253697,4.061390e+00,4.060249e-01,0.900220,,,,,,
100,318565,0.232462,3.815659e+00,3.812347e-01,0.900220,,,,,,
110,350499,0.212010,3.596995e+00,3.499386e-01,0.900220,,,,,,
120,382277,0.195199,3.505898e+00,4.811799e-01,0.900220,,,,,,
130,414139,0.185108,3.268371e+00,3.476394e-01,0.900220,,,,,,
140,445928,0.173847,3.229361e+00,4.652162e-01,0.900220,,,,,,
150,477794,0.161780,2.973738e+00,2.590173e-01,0.900220,,,,,,
160,509640,0.155254,2.889215e+00,2.801040e-01,0.900220,,,,,,
170,541450,0.145048,2.772380e+00,1.667928e-01,0.900220,,,,,,
180,573352,0.137248,2.685711e+00,2.185283e-01,0.900220,,,,,,
190,605101,0.131323,2.649384e+00,1.832331e-01,0.900220,,,,,,
200,637064,0.125714,2.578253e+00,3.066486e-01,0.900220,,,,,,
210,668813,0.123056,2.492892e+00,3.042156e-01,0.900220,,,,,,
220,700776,0.114978,2.442064e+00,1.984492e-01,0.900220,,,,,,
230,732530,0.114170,2.396060e+00,2.528469e-01,0.900220,,,,,,
240,764416,0.110135,2.309230e+00,1.222901e-01,0.900220,,,,,,
