round,grad_computations,train_loss,drift,grad_norm,h_label,radius,ball_hits,mean_hit_step,cos_client,cos_agg,cos_client_exact
0,0,2.300195,4.989780e+00,6.769222e-01,0.700099,,,,,,
10,32000,1.520720,8.894435e+00,1.546695e+00,0.700099,,,,,,
20,63673,0.811923,7.451843e+00,1.404537e+00,0.700099,,,,,,
30,95648,0.526958,5.868570e+00,9.608777e-01,0.700099,,,,,,
40,127321,0.386679,4.793030e+00,5.861690e-01,0.700099,,,,,,
50,159296,0.305440,4.037005e+00,3.631073e-01,0.700099,,,,,,
60,190969,0.259783,3.490026e+00,3.465862e-01,0.700099,,,,,,
70,222884,0.223810,3.168294e+00,4.081168e-01,0.700099,,,,,,
80,254617,0.199514,2.885207e+00,3.054705e-01,0.700099,,,,,,
90,286532,0.178454,2.706139e+00,3.622734e-01,0.700099,,,,,,
100,318265,0.160567,2.474756e+00,2.825352e-01,0.700099,,,,,,
110,350180,0.148763,2.335957e+00,1.928892e-01,0.700099,,,,,,
120,381913,0.139831,2.121355e+00,1.867713e-01,0.700099,,,,,,
130,413791,0.128957,2.039054e+00,1.671365e-01,0.700099,,,,,,
140,445501,0.126795,1.991743e+00,1.934221e-01,0.700099,,,,,,
150,477399,0.114701,1.906363e+00,2.234458e-01,0.700099,,,,,,
160,509149,0.107689,1.867173e+00,2.063291e-01,0.700099,,,,,,
170,540936,0.101746,1.788433e+00,1.856748e-01,0.700099,,,,,,
180,572797,0.097754,1.733297e+00,2.359953e-01,0.700099,,,,,,
190,604584,0.092647,1.712221e+00,2.242679e-01,0.700099,,,,,,
200,636445,0.088332,1.647106e+00,1.775350e-01,0.700099,,,,,,
210,668172,0.084714,1.605488e+00,1.406153e-01,0.700099,,,,,,
220,700093,0.081351,1.555748e+00,2.010051e-01,0.700099,,,,,,
230,731820,0.078476,1.514871e+00,1.369739e-01,0.700099,,,,,,
240,763704,0.075363,1.518275e+00,2.017843e-01,0.700099,,,,,,
