round,grad_computations,train_loss,drift,grad_norm,h_label,radius,ball_hits,mean_hit_step,cos_client,cos_agg,cos_client_exact
0,0,2.300195,5.013997e-02,6.769222e-01,0.000000,,,,,,
10,32000,0.634456,1.565492e-01,1.712332e+00,0.000000,,,,,,
20,63840,0.322226,1.646377e-01,1.041434e+00,0.000000,,,,,,
30,95840,0.221118,1.559229e-01,4.769076e-01,0.000000,,,,,,
40,127680,0.177218,1.485181e-01,3.124065e-01,0.000000,,,,,,
50,159680,0.146223,1.444535e-01,3.442081e-01,0.000000,,,,,,
60,191520,0.124271,1.369163e-01,2.431637e-01,0.000000,,,,,,
70,223520,0.111695,1.361549e-01,2.228207e-01,0.000000,,,,,,
80,255360,0.097948,1.363910e-01,2.348339e-01,0.000000,,,,,,
90,287360,0.090813,1.295007e-01,1.697713e-01,0.000000,,,,,,
100,319200,0.083334,1.325992e-01,2.233503e-01,0.000000,,,,,,
110,351200,0.076519,1.271828e-01,8.753285e-02,0.000000,,,,,,
120,383040,0.074052,1.262957e-01,1.443652e-01,0.000000,,,,,,
130,415040,0.067689,1.305263e-01,3.834337e-01,0.000000,,,,,,
140,446880,0.063963,1.207138e-01,1.003745e-01,0.000000,,,,,,
150,478880,0.060687,1.253608e-01,2.053999e-01,0.000000,,,,,,
160,510720,0.057239,1.196879e-01,7.591464e-02,0.000000,,,,,,
170,542560,0.054745,1.178700e-01,1.573638e-01,0.000000,,,,,,
180,574560,0.053137,1.153462e-01,1.055872e-01,0.000000,,,,,,
190,606400,0.052038,1.170875e-01,1.353417e-01,0.000000,,,,,,
200,638400,0.048502,1.174911e-01,1.373774e-01,0.000000,,,,,,
210,670240,0.048242,1.162947e-01,1.350081e-01,0.000000,,,,,,
220,702240,0.046572,1.136396e-01,1.369832e-01,0.000000,,,,,,
230,734080,0.044310,1.137016e-01,1.515095e-01,0.000000,,,,,,
240,766080,0.042717,1.127866e-01,1.181930e-01,0.000000,,,,,,
