round,grad_computations,train_loss,drift,grad_norm,h_label,radius,ball_hits,mean_hit_step,cos_client,cos_agg,cos_client_exact
0,0,2.300195,3.916624e+00,6.769222e-01,0.450044,,,,,,
10,32000,1.000850,7.130099e+00,1.575163e+00,0.450044,,,,,,
20,63681,0.481311,4.515320e+00,7.700634e-01,0.450044,,,,,,
30,95648,0.318332,3.335799e+00,4.991190e-01,0.450044,,,,,,
40,127329,0.245402,2.647212e+00,3.357538e-01,0.450044,,,,,,
50,159296,0.204494,2.250124e+00,3.709562e-01,0.450044,,,,,,
60,190977,0.173620,2.016646e+00,1.714040e-01,0.450044,,,,,,
70,222944,0.153077,1.805695e+00,1.827194e-01,0.450044,,,,,,
80,254625,0.137381,1.700267e+00,2.858580e-01,0.450044,,,,,,
90,286573,0.126208,1.559519e+00,1.903052e-01,0.450044,,,,,,
100,318273,0.114166,1.459640e+00,1.245894e-01,0.450044,,,,,,
110,350221,0.106465,1.371495e+00,1.209162e-01,0.450044,,,,,,
120,381921,0.099257,1.308635e+00,1.619370e-01,0.450044,,,,,,
130,413869,0.093264,1.288390e+00,2.044528e-01,0.450044,,,,,,
140,445569,0.088997,1.189699e+00,1.427008e-01,0.450044,,,,,,
150,477398,0.083382,1.143484e+00,1.040506e-01,0.450044,,,,,,
160,509198,0.080077,1.128018e+00,1.748091e-01,0.450044,,,,,,
170,540952,0.075393,1.098215e+00,1.296287e-01,0.450044,,,,,,
180,572846,0.073161,1.082574e+00,1.659615e-01,0.450044,,,,,,
190,604600,0.068852,1.058225e+00,1.858205e-01,0.450044,,,,,,
200,636494,0.066289,1.029675e+00,1.966506e-01,0.450044,,,,,,
210,668248,0.064069,9.833865e-01,9.541696e-02,0.450044,,,,,,
220,700142,0.061179,9.842153e-01,2.054269e-01,0.450044,,,,,,
230,731877,0.059937,9.398144e-01,1.227537e-01,0.450044,,,,,,
240,763790,0.058465,9.319283e-01,1.739602e-01,0.450044,,,,,,
