round,grad_computations,train_loss,drift,grad_norm,h_label,radius,ball_hits,mean_hit_step,cos_client,cos_agg,cos_client_exact
0,0,2.300195,5.637846e+00,6.769222e-01,0.900220,,,,,,
10,32000,1.749140,1.059670e+01,1.346934e+00,0.900220,,,,,,
20,63717,1.220030,9.769859e+00,1.632581e+00,0.900220,,,,,,
30,95712,0.848498,8.620221e+00,1.360465e+00,0.900220,,,,,,
40,127429,0.619408,7.470059e+00,1.077341e+00,0.900220,,,,,,
50,159424,0.495054,6.428796e+00,8.353516e-01,0.900220,,,,,,
60,191141,0.415405,5.690277e+00,6.525190e-01,0.900220,,,,,,
70,223075,0.347575,5.131477e+00,5.704699e-01,0.900220,,,,,,
80,254853,0.302521,4.656953e+00,4.629841e-01,0.900220,,,,,,
90,286787,0.270844,4.211348e+00,3.707517e-01,0.900220,,,,,,
100,318565,0.243173,3.944813e+00,3.881224e-01,0.900220,,,,,,
110,350499,0.223689,3.769476e+00,4.503205e-01,0.900220,,,,,,
120,382277,0.205778,3.514313e+00,3.067843e-01,0.900220,,,,,,
130,414139,0.190155,3.298248e+00,2.948778e-01,0.900220,,,,,,
140,445928,0.178262,3.174765e+00,3.115578e-01,0.900220,,,,,,
150,477794,0.168756,3.040767e+00,2.026964e-01,0.900220,,,,,,
160,509640,0.156693,2.946673e+00,3.251624e-01,0.900220,,,,,,
170,541450,0.149005,2.819185e+00,3.660445e-01,0.900220,,,,,,
180,573352,0.141378,2.712711e+00,2.680165e-01,0.900220,,,,,,
190,605101,0.135498,2.624339e+00,2.738480e-01,0.900220,,,,,,
200,637064,0.129019,2.550218e+00,1.750397e-01,0.900220,,,,,,
210,668813,0.122362,2.483591e+00,2.395102e-01,0.900220,,,,,,
220,700776,0.118988,2.386369e+00,2.012318e-01,0.900220,,,,,,
230,732530,0.112370,2.353303e+00,2.278943e-01,0.900220,,,,,,
240,764416,0.107239,2.288981e+00,1.933820e-01,0.900220,,,,,,
