round,grad_computations,train_loss,drift,grad_norm,h_label
0,0,4.610989,1.863328e-01,1.765997e-01,0.001449
10,2560,4.598794,,,0.001449
20,5000,4.588144,,,0.001449
25,6280,4.583458,1.804743e-01,1.636476e-01,0.001449
30,7560,4.577412,,,0.001449
40,10000,4.560749,,,0.001449
50,12560,4.541613,2.394321e-01,2.308322e-01,0.001449
60,15000,4.515589,,,0.001449
70,17560,4.480274,,,0.001449
75,18840,4.462337,3.613166e-01,3.464844e-01,0.001449
80,20000,4.445360,,,0.001449
90,22560,4.387008,,,0.001449
100,25000,4.337075,5.631072e-01,6.042342e-01,0.001449
