round,grad_computations,train_loss,drift,grad_norm,h_label,radius,ball_hits,mean_hit_step,cos_client,cos_agg,cos_client_exact
0,0,2.309732,1.439144e+00,8.913017e-01,0.050045,,,,,,
10,32000,0.512978,1.547894e+00,1.524698e+00,0.050045,,,,,,
20,63648,0.284885,9.359173e-01,6.596456e-01,0.050045,,,,,,
30,95648,0.212427,7.378826e-01,4.529309e-01,0.050045,,,,,,
40,127296,0.175176,5.921322e-01,2.535625e-01,0.050045,,,,,,
50,159296,0.143580,5.418963e-01,3.745315e-01,0.050045,,,,,,
60,190944,0.125930,4.976126e-01,3.362614e-01,0.050045,,,,,,
70,222944,0.112282,4.430703e-01,2.604020e-01,0.050045,,,,,,
80,254592,0.100727,4.097025e-01,2.573445e-01,0.050045,,,,,,
90,286592,0.092395,3.927560e-01,2.724181e-01,0.050045,,,,,,
100,318240,0.085356,3.593354e-01,1.547024e-01,0.050045,,,,,,
110,350240,0.078921,3.440137e-01,1.546746e-01,0.050045,,,,,,
120,381888,0.076433,3.326742e-01,1.561181e-01,0.050045,,,,,,
130,413888,0.070396,3.227241e-01,1.474663e-01,0.050045,,,,,,
140,445536,0.066243,3.117003e-01,1.625619e-01,0.050045,,,,,,
150,477475,0.069064,4.786614e-01,9.318472e-01,0.050045,,,,,,
160,509184,0.061043,2.865525e-01,1.312747e-01,0.050045,,,,,,
170,540922,0.059291,2.885373e-01,2.069473e-01,0.050045,,,,,,
180,572832,0.055687,2.799417e-01,1.757127e-01,0.050045,,,,,,
190,604484,0.053218,2.690571e-01,1.513946e-01,0.050045,,,,,,
200,636480,0.051210,2.721879e-01,1.976247e-01,0.050045,,,,,,
210,668132,0.048746,2.685882e-01,2.460594e-01,0.050045,,,,,,
220,700128,0.048588,2.561800e-01,1.260017e-01,0.050045,,,,,,
230,731780,0.046201,2.511959e-01,1.745061e-01,0.050045,,,,,,
240,763776,0.044570,2.504683e-01,1.962208e-01,0.050045,,,,,,
