round,grad_computations,train_loss,drift,grad_norm,h_label,radius,ball_hits,mean_hit_step,cos_client,cos_agg,cos_client_exact
0,0,2.309732,7.143753e+00,8.913016e-01,0.850100,,,,,,
10,32000,1.662891,9.656336e+00,1.638209e+00,0.850100,,,,,,
20,63674,1.031378,8.755042e+00,1.697422e+00,0.850100,,,,,,
30,95648,0.675374,7.394032e+00,1.264655e+00,0.850100,,,,,,
40,127322,0.502251,6.145669e+00,8.772500e-01,0.850100,,,,,,
50,159296,0.395460,5.286254e+00,6.223434e-01,0.850100,,,,,,
60,190970,0.331603,4.686107e+00,5.597659e-01,0.850100,,,,,,
70,222899,0.283009,4.167903e+00,3.923894e-01,0.850100,,,,,,
80,254618,0.250126,3.868749e+00,3.714259e-01,0.850100,,,,,,
90,286547,0.226620,3.547389e+00,3.589726e-01,0.850100,,,,,,
100,318266,0.206484,3.308383e+00,3.446721e-01,0.850100,,,,,,
110,350195,0.190255,3.156641e+00,4.001250e-01,0.850100,,,,,,
120,381914,0.175035,2.991923e+00,2.862332e-01,0.850100,,,,,,
130,413779,0.165906,2.921662e+00,3.999799e-01,0.850100,,,,,,
140,445517,0.155384,2.726761e+00,3.306148e-01,0.850100,,,,,,
150,477374,0.145165,2.591000e+00,3.251369e-01,0.850100,,,,,,
160,509165,0.136104,2.509035e+00,1.705568e-01,0.850100,,,,,,
170,540904,0.129003,2.453663e+00,1.955405e-01,0.850100,,,,,,
180,572813,0.123872,2.381368e+00,2.103862e-01,0.850100,,,,,,
190,604507,0.118149,2.356050e+00,3.130692e-01,0.850100,,,,,,
200,636461,0.112408,2.257348e+00,2.812785e-01,0.850100,,,,,,
210,668155,0.107987,2.237946e+00,2.335214e-01,0.850100,,,,,,
220,700109,0.104731,2.169744e+00,2.690663e-01,0.850100,,,,,,
230,731829,0.100818,2.044636e+00,1.993281e-01,0.850100,,,,,,
240,763693,0.096654,2.004397e+00,1.386112e-01,0.850100,,,,,,
