round,grad_computations,train_loss,drift,grad_norm,h_label,radius,ball_hits,mean_hit_step,cos_client,cos_agg,cos_client_exact
0,0,2.300195,4.798796e+00,6.769222e-01,0.650134,,,,,,
10,32000,1.422527,8.257990e+00,1.630831e+00,0.650134,,,,,,
20,63696,0.736598,6.982319e+00,1.222079e+00,0.650134,,,,,,
30,95648,0.471132,5.291133e+00,7.582115e-01,0.650134,,,,,,
40,127344,0.351895,4.192684e+00,6.048450e-01,0.650134,,,,,,
50,159296,0.276938,3.555275e+00,3.579069e-01,0.650134,,,,,,
60,190992,0.232568,3.151813e+00,3.641550e-01,0.650134,,,,,,
70,222903,0.202776,2.756346e+00,2.494082e-01,0.650134,,,,,,
80,254640,0.181156,2.533496e+00,2.654856e-01,0.650134,,,,,,
90,286551,0.164227,2.331016e+00,1.930822e-01,0.650134,,,,,,
100,318288,0.147355,2.179613e+00,1.611359e-01,0.650134,,,,,,
110,350199,0.136355,2.100010e+00,3.180316e-01,0.650134,,,,,,
120,381936,0.126025,1.958720e+00,1.212433e-01,0.650134,,,,,,
130,413819,0.118251,1.859457e+00,2.222356e-01,0.650134,,,,,,
140,445543,0.111762,1.840981e+00,2.897457e-01,0.650134,,,,,,
150,477434,0.103822,1.732117e+00,2.510486e-01,0.650134,,,,,,
160,509191,0.098251,1.712225e+00,3.257844e-01,0.650134,,,,,,
170,540973,0.093456,1.619440e+00,1.714482e-01,0.650134,,,,,,
180,572839,0.088710,1.562673e+00,1.252989e-01,0.650134,,,,,,
190,604621,0.086985,1.529478e+00,1.280874e-01,0.650134,,,,,,
200,636487,0.081506,1.480626e+00,1.194026e-01,0.650134,,,,,,
210,668228,0.077983,1.462877e+00,1.766133e-01,0.650134,,,,,,
220,700135,0.075018,1.405070e+00,6.864687e-02,0.650134,,,,,,
230,731876,0.072430,1.401185e+00,1.811240e-01,0.650134,,,,,,
240,763755,0.069614,1.351516e+00,1.034703e-01,0.650134,,,,,,
