round,grad_computations,train_loss,drift,grad_norm,h_label,radius,ball_hits,mean_hit_step,cos_client,cos_agg,cos_client_exact
0,0,2.303516,4.658924e+00,6.629946e-01,0.550093,,,,,,
10,32000,1.255107,8.084618e+00,1.649323e+00,0.550093,,,,,,
20,63813,0.572882,5.733669e+00,9.314526e-01,0.550093,,,,,,
30,95776,0.367631,4.116147e+00,6.007552e-01,0.550093,,,,,,
40,127589,0.276857,3.346121e+00,4.782133e-01,0.550093,,,,,,
50,159552,0.227173,2.837238e+00,3.748552e-01,0.550093,,,,,,
60,191365,0.194524,2.498059e+00,2.545163e-01,0.550093,,,,,,
70,223327,0.171115,2.326240e+00,3.601975e-01,0.550093,,,,,,
80,255141,0.154485,2.119043e+00,2.400176e-01,0.550093,,,,,,
90,287103,0.140736,1.968077e+00,1.904547e-01,0.550093,,,,,,
100,318917,0.128498,1.854602e+00,1.921419e-01,0.550093,,,,,,
110,350879,0.120827,1.786484e+00,2.575158e-01,0.550093,,,,,,
120,382693,0.111517,1.679649e+00,1.925654e-01,0.550093,,,,,,
130,414649,0.105406,1.606062e+00,1.517039e-01,0.550093,,,,,,
140,446468,0.101615,1.515137e+00,1.465490e-01,0.550093,,,,,,
150,478404,0.095041,1.494423e+00,2.119425e-01,0.550093,,,,,,
160,510244,0.090207,1.434434e+00,1.358541e-01,0.550093,,,,,,
170,542079,0.086408,1.391834e+00,1.220177e-01,0.550093,,,,,,
180,574020,0.083451,1.358402e+00,1.049843e-01,0.550093,,,,,,
190,605855,0.079212,1.323594e+00,1.673542e-01,0.550093,,,,,,
200,637796,0.076639,1.298541e+00,1.457887e-01,0.550093,,,,,,
210,669630,0.073205,1.257577e+00,1.164482e-01,0.550093,,,,,,
220,701572,0.070401,1.228340e+00,8.692291e-02,0.550093,,,,,,
230,733406,0.069029,1.199791e+00,1.071752e-01,0.550093,,,,,,
240,765342,0.066899,1.177830e+00,1.331422e-01,0.550093,,,,,,
