round,grad_computations,train_loss,drift,grad_norm,h_label,radius,ball_hits,mean_hit_step,cos_client,cos_agg,cos_client_exact
0,0,2.303516,5.494537e+00,6.629946e-01,0.750134,,,,,,
10,32000,1.626359,8.859710e+00,1.512602e+00,0.750134,,,,,,
20,63714,0.930997,7.993960e+00,1.551158e+00,0.750134,,,,,,
30,95712,0.585259,6.429889e+00,1.093520e+00,0.750134,,,,,,
40,127426,0.422472,5.165143e+00,7.339572e-01,0.750134,,,,,,
50,159424,0.335110,4.369730e+00,4.864164e-01,0.750134,,,,,,
60,191138,0.274356,3.851460e+00,3.447554e-01,0.750134,,,,,,
70,223121,0.236281,3.458719e+00,3.230486e-01,0.750134,,,,,,
80,254850,0.208338,3.129589e+00,2.811655e-01,0.750134,,,,,,
90,286833,0.191188,2.892994e+00,2.526542e-01,0.750134,,,,,,
100,318562,0.174356,2.686686e+00,2.402291e-01,0.750134,,,,,,
110,350545,0.160101,2.549471e+00,2.645224e-01,0.750134,,,,,,
120,382274,0.150130,2.442389e+00,2.009716e-01,0.750134,,,,,,
130,414211,0.139533,2.355783e+00,2.894608e-01,0.750134,,,,,,
140,445971,0.131148,2.287419e+00,3.406056e-01,0.750134,,,,,,
150,477879,0.125366,2.153950e+00,2.062223e-01,0.750134,,,,,,
160,509683,0.118718,2.104668e+00,1.747055e-01,0.750134,,,,,,
170,541477,0.111755,2.017491e+00,2.662737e-01,0.750134,,,,,,
180,573395,0.106542,1.968785e+00,1.659919e-01,0.750134,,,,,,
190,605174,0.102854,1.927624e+00,2.254338e-01,0.750134,,,,,,
200,637107,0.096750,1.869733e+00,2.009611e-01,0.750134,,,,,,
210,668886,0.093077,1.815435e+00,1.468460e-01,0.750134,,,,,,
220,700819,0.089949,1.791272e+00,2.369833e-01,0.750134,,,,,,
230,732598,0.087230,1.736303e+00,1.560700e-01,0.750134,,,,,,
240,764485,0.083399,1.710830e+00,1.262644e-01,0.750134,,,,,,
