round,grad_computations,train_loss,drift,grad_norm,h_label,radius,ball_hits,mean_hit_step,cos_client,cos_agg,cos_client_exact
0,0,2.300195,2.452992e+00,6.769212e-01,0.200087,,,,,,
10,32000,0.744038,3.812162e+00,1.764891e+00,0.200087,,,,,,
20,63712,0.354218,2.316337e+00,6.920724e-01,0.200087,,,,,,
30,95712,0.241320,1.673932e+00,4.666129e-01,0.200087,,,,,,
40,127424,0.193497,1.411130e+00,3.967894e-01,0.200087,,,,,,
50,159424,0.160405,1.210587e+00,2.860903e-01,0.200087,,,,,,
60,191136,0.138266,1.090181e+00,2.592695e-01,0.200087,,,,,,
70,223136,0.122404,1.003881e+00,2.449889e-01,0.200087,,,,,,
80,254848,0.109358,9.120645e-01,1.762769e-01,0.200087,,,,,,
90,286846,0.098949,8.479033e-01,1.762741e-01,0.200087,,,,,,
100,318560,0.092475,8.125355e-01,2.987411e-01,0.200087,,,,,,
110,350558,0.088380,7.610304e-01,1.779590e-01,0.200087,,,,,,
120,382272,0.079325,7.151096e-01,7.382978e-02,0.200087,,,,,,
130,414270,0.075668,6.835292e-01,1.328989e-01,0.200087,,,,,,
140,445984,0.072111,6.638991e-01,1.606394e-01,0.200087,,,,,,
150,477950,0.067402,6.868948e-01,3.778882e-01,0.200087,,,,,,
160,509696,0.065777,6.193134e-01,1.378262e-01,0.200087,,,,,,
170,541491,0.061993,6.060367e-01,1.267441e-01,0.200087,,,,,,
180,573406,0.058884,5.913609e-01,2.379525e-01,0.200087,,,,,,
190,605178,0.057847,5.627930e-01,1.138636e-01,0.200087,,,,,,
200,637118,0.056375,5.359588e-01,1.171370e-01,0.200087,,,,,,
210,668890,0.052788,5.215190e-01,6.795593e-02,0.200087,,,,,,
220,700830,0.052283,5.244731e-01,1.667074e-01,0.200087,,,,,,
230,732602,0.049495,5.141174e-01,1.339782e-01,0.200087,,,,,,
240,764542,0.048802,4.999273e-01,1.402473e-01,0.200087,,,,,,
