round,local_updates,examples_processed,train_loss,train_accuracy,drift,grad_norm,selected_clients,aggregation_weights,client_losses,client_accuracies,seed,hard_k
26,156,9984,0.43779377059936525,0.8680666666666667,,,"[0, 1]","[0.5, 0.5]","[0.4342464340209961, 0.4413411071777344]","[0.8707333333333334, 0.8654]",0,1
27,162,10368,0.37734257583618164,0.8946333333333334,,,"[0, 1]","[0.5, 0.5]","[0.37118969116210937, 0.3834954605102539]","[0.8968, 0.8924666666666666]",0,1
28,168,10752,0.3679973897298177,0.8958666666666666,,,"[0, 1]","[0.5, 0.5]","[0.36270438690185547, 0.37329039255777996]","[0.9004, 0.8913333333333333]",0,1
29,174,11136,0.35313695449829097,0.8961333333333333,,,"[0, 1]","[0.5, 0.5]","[0.34766864624023436, 0.35860526275634763]","[0.8982666666666667, 0.894]",0,1
30,180,11520,0.41531049804687503,0.8648666666666667,0.09784240275621414,1.9004391431808472,"[0, 1]","[0.5, 0.5]","[0.4106502850850423, 0.4199707110087077]","[0.8664, 0.8633333333333333]",0,1
0,0,0,2.306821085611979,0.10706666666666667,0.07011768966913223,0.6291294097900391,[],[],"[2.3074941243489584, 2.306148046875]","[0.1054, 0.10873333333333333]",0,5
1,10,640,2.2234433990478513,0.10646666666666667,,,"[0, 1]","[0.5, 0.5]","[2.2231904296875, 2.223696368408203]","[0.10493333333333334, 0.108]",0,5
2,20,1280,2.0992666931152346,0.6177333333333332,,,"[0, 1]","[0.5, 0.5]","[2.097539512125651, 2.1009938741048177]","[0.6264666666666666, 0.609]",0,5
3,30,1920,1.8844510803222656,0.6378333333333333,,,"[0, 1]","[0.5, 0.5]","[1.881563692220052, 1.8873384684244792]","[0.6402, 0.6354666666666666]",0,5
4,40,2560,1.54627818552653,0.6403666666666668,,,"[0, 1]","[0.5, 0.5]","[1.5411034311930338, 1.551452939860026]","[0.6437333333333334, 0.637]",0,5
5,50,3200,1.4909239939371743,0.5552,,,"[0, 1]","[0.5, 0.5]","[1.4755842407226563, 1.5062637471516926]","[0.5652666666666667, 0.5451333333333334]",0,5
6,60,3840,1.0479091028849283,0.6397999999999999,,,"[0, 1]","[0.5, 0.5]","[1.0432081064860026, 1.052610099283854]","[0.6445333333333333, 0.6350666666666667]",0,5
7,70,4480,1.070276249186198,0.6560999999999999,,,"[0, 1]","[0.5, 0.5]","[1.0652052408854167, 1.0753472574869791]","[0.6564666666666666, 0.6557333333333333]",0,5
8,80,5120,0.7532197883605957,0.7931333333333334,,,"[0, 1]","[0.5, 0.5]","[0.7507502995808919, 0.7556892771402994]","[0.798, 0.7882666666666667]",0,5
9,90,5760,0.6837106862386068,0.7794333333333333,,,"[0, 1]","[0.5, 0.5]","[0.6823885070800781, 0.6850328653971354]","[0.7802, 0.7786666666666666]",0,5
10,100,6400,0.6284992121378581,0.8263333333333334,,,"[0, 1]","[0.5, 0.5]","[0.6229178700764973, 0.6340805541992187]","[0.8292666666666667, 0.8234]",0,5
11,110,7040,0.5578559763590495,0.8297666666666667,,,"[0, 1]","[0.5, 0.5]","[0.5544670298258464, 0.5612449228922526]","[0.8335333333333333, 0.826]",0,5
12,120,7680,0.6191177630106608,0.8135666666666667,,,"[0, 1]","[0.5, 0.5]","[0.6145542938232422, 0.6236812321980795]","[0.817, 0.8101333333333334]",0,5
13,130,8320,0.5095229008992513,0.8694999999999999,,,"[0, 1]","[0.5, 0.5]","[0.5067523376464844, 0.5122934641520183]","[0.8714666666666666, 0.8675333333333334]",0,5
14,140,8960,0.46550018259684245,0.8563333333333334,,,"[0, 1]","[0.5, 0.5]","[0.4635720703125, 0.46742829488118487]","[0.8582666666666666, 0.8544]",0,5
15,150,9600,0.45663322168986004,0.8606333333333334,,,"[0, 1]","[0.5, 0.5]","[0.45433437576293945, 0.4589320676167806]","[0.8636666666666667, 0.8576]",0,5
