round,grad_computations,train_loss,drift,grad_norm,h_label,radius,ball_hits,mean_hit_step,cos_client,cos_agg,cos_client_exact
0,0,2.309732,,,0.500113,,,,,,
1,6400,2.151590,,,0.500113,,,,,,
2,12800,1.917352,,,0.500113,,,,,,
3,19200,1.663309,,,0.500113,,,,,,
4,25600,1.342951,,,0.500113,,,,,,
5,32000,1.102230,,,0.500113,,,,,,
6,38400,0.864551,,,0.500113,,,,,,
7,44800,0.725948,,,0.500113,,,,,,
8,51200,0.617715,,,0.500113,,,,,,
9,57557,0.554715,,,0.500113,,,,,,
10,63713,0.494597,,,0.500113,,,,,,
11,70112,0.443363,,,0.500113,,,,,,
12,76512,0.414483,,,0.500113,,,,,,
13,82912,0.378414,,,0.500113,,,,,,
14,89312,0.353186,,,0.500113,,,,,,
15,95712,0.334687,,,0.500113,,,,,,
16,102112,0.317379,,,0.500113,,,,,,
17,108512,0.304127,,,0.500113,,,,,,
18,114869,0.284161,,,0.500113,,,,,,
19,121097,0.273520,,,0.500113,,,,,,
20,127425,0.265099,,,0.500113,,,,,,
21,133824,0.250413,,,0.500113,,,,,,
22,140224,0.239529,,,0.500113,,,,,,
23,146624,0.231130,,,0.500113,,,,,,
24,153024,0.223198,,,0.500113,,,,,,
25,159424,0.217349,,,0.500113,,,,,,
26,165824,0.212105,,,0.500113,,,,,,
27,172181,0.205070,,,0.500113,,,,,,
28,178507,0.196618,,,0.500113,,,,,,
29,184758,0.192153,,,0.500113,,,,,,
30,191137,0.188204,,,0.500113,,,,,,
31,197536,0.182101,,,0.500113,,,,,,
32,203936,0.178868,,,0.500113,,,,,,
33,210336,0.174076,,,0.500113,,,,,,
34,216736,0.169879,,,0.500113,,,,,,
35,223136,0.166882,,,0.500113,,,,,,
36,229493,0.163002,,,0.500113,,,,,,
37,235893,0.159516,,,0.500113,,,,,,
38,242121,0.167432,,,0.500113,,,,,,
39,248449,0.154859,,,0.500113,,,,,,
40,254849,0.152309,,,0.500113,,,,,,
41,261248,0.146513,,,0.500113,,,,,,
42,267648,0.144621,,,0.500113,,,,,,
43,274048,0.141066,,,0.500113,,,,,,
44,280405,0.138950,,,0.500113,,,,,,
45,286805,0.135844,,,0.500113,,,,,,
46,293205,0.133964,,,0.500113,,,,,,
47,299433,0.132409,,,0.500113,,,,,,
48,305782,0.130265,,,0.500113,,,,,,
49,312161,0.128838,,,0.500113,,,,,,
50,318561,0.127950,,,0.500113,,,,,,
51,324960,0.124538,,,0.500113,,,,,,
52,331360,0.122883,,,0.500113,,,,,,
53,337717,0.122015,,,0.500113,,,,,,
54,344117,0.118812,,,0.500113,,,,,,
55,350517,0.117780,,,0.500113,,,,,,
56,356843,0.118010,,,0.500113,,,,,,
57,363145,0.114818,,,0.500113,,,,,,
58,369494,0.114581,,,0.500113,,,,,,
59,375873,0.112461,,,0.500113,,,,,,
60,382273,0.110468,,,0.500113,,,,,,
61,388673,0.108985,,,0.500113,,,,,,
62,395029,0.108476,,,0.500113,,,,,,
63,401429,0.105794,,,0.500113,,,,,,
64,407829,0.104555,,,0.500113,,,,,,
65,414229,0.103046,,,0.500113,,,,,,
66,420457,0.101946,,,0.500113,,,,,,
67,426857,0.100802,,,0.500113,,,,,,
68,433185,0.098969,,,0.500113,,,,,,
69,439585,0.098518,,,0.500113,,,,,,
70,445985,0.098851,,,0.500113,,,,,,
71,452342,0.097672,,,0.500113,,,,,,
72,458741,0.095177,,,0.500113,,,,,,
73,465141,0.094265,,,0.500113,,,,,,
74,471541,0.094019,,,0.500113,,,,,,
75,477867,0.092965,,,0.500113,,,,,,
76,484169,0.091340,,,0.500113,,,,,,
77,490518,0.091001,,,0.500113,,,,,,
78,496897,0.090164,,,0.500113,,,,,,
79,503297,0.090228,,,0.500113,,,,,,
80,509654,0.088747,,,0.500113,,,,,,
81,516054,0.087224,,,0.500113,,,,,,
82,522453,0.087346,,,0.500113,,,,,,
83,528853,0.085779,,,0.500113,,,,,,
84,535179,0.210994,,,0.500113,,,,,,
85,541481,0.092090,,,0.500113,,,,,,
86,547881,0.088937,,,0.500113,,,,,,
87,554230,0.086942,,,0.500113,,,,,,
88,560566,0.085830,,,0.500113,,,,,,
89,566966,0.083559,,,0.500113,,,,,,
90,573366,0.082817,,,0.500113,,,,,,
91,579766,0.082041,,,0.500113,,,,,,
92,586165,0.081743,,,0.500113,,,,,,
93,592491,0.080809,,,0.500113,,,,,,
94,598793,0.080822,,,0.500113,,,,,,
