round,grad_computations,train_loss,drift,grad_norm,h_label,radius,ball_hits,mean_hit_step,cos_client,cos_agg,cos_client_exact
0,0,2.300195,,,0.900220,,,,,,
1,12800,2.218753,,,0.900220,,,,,,
2,25600,2.123523,,,0.900220,,,,,,
3,38400,2.038958,,,0.900220,,,,,,
4,51200,1.941507,,,0.900220,,,,,,
5,63717,1.841567,,,0.900220,,,,,,
6,76512,1.746402,,,0.900220,,,,,,
7,89312,1.613425,,,0.900220,,,,,,
8,102112,1.519070,,,0.900220,,,,,,
9,114851,1.402502,,,0.900220,,,,,,
10,127429,1.293361,,,0.900220,,,,,,
11,140224,1.192956,,,0.900220,,,,,,
12,153024,1.097066,,,0.900220,,,,,,
13,165763,1.018781,,,0.900220,,,,,,
14,178434,0.936182,,,0.900220,,,,,,
15,191141,0.879543,,,0.900220,,,,,,
16,203936,0.817393,,,0.900220,,,,,,
17,216736,0.746682,,,0.900220,,,,,,
18,229475,0.713566,,,0.900220,,,,,,
19,242090,0.678904,,,0.900220,,,,,,
20,254853,0.633500,,,0.900220,,,,,,
21,267648,0.602638,,,0.900220,,,,,,
22,280387,0.566352,,,0.900220,,,,,,
23,293115,0.545425,,,0.900220,,,,,,
24,305783,0.515122,,,0.900220,,,,,,
25,318565,0.491791,,,0.900220,,,,,,
26,331304,0.473349,,,0.900220,,,,,,
27,344099,0.451120,,,0.900220,,,,,,
28,356770,0.431437,,,0.900220,,,,,,
29,369495,0.415541,,,0.900220,,,,,,
30,382277,0.403826,,,0.900220,,,,,,
31,395016,0.381887,,,0.900220,,,,,,
32,407811,0.374051,,,0.900220,,,,,,
33,420426,0.365672,,,0.900220,,,,,,
34,433207,0.355130,,,0.900220,,,,,,
35,445928,0.357671,,,0.900220,,,,,,
36,458728,0.339390,,,0.900220,,,,,,
37,471451,0.324034,,,0.900220,,,,,,
38,484138,0.312944,,,0.900220,,,,,,
39,496858,0.303889,,,0.900220,,,,,,
40,509640,0.295741,,,0.900220,,,,,,
41,522440,0.287851,,,0.900220,,,,,,
42,535106,0.280102,,,0.900220,,,,,,
43,547789,0.274471,,,0.900220,,,,,,
44,560570,0.271415,,,0.900220,,,,,,
45,573352,0.263508,,,0.900220,,,,,,
46,586080,0.255113,,,0.900220,,,,,,
47,598767,0.247900,,,0.900220,,,,,,
