round,grad_computations,train_loss,drift,grad_norm,h_label,radius,ball_hits,mean_hit_step,cos_client,cos_agg,cos_client_exact
0,0,2.309732,,,0.000000,,,,,,
1,12800,1.262482,,,0.000000,,,,,,
2,25600,0.702985,,,0.000000,,,,,,
3,38400,0.466601,,,0.000000,,,,,,
4,51200,0.341054,,,0.000000,,,,,,
5,63840,0.289120,,,0.000000,,,,,,
6,76640,0.247043,,,0.000000,,,,,,
7,89440,0.218320,,,0.000000,,,,,,
8,102240,0.201202,,,0.000000,,,,,,
9,115040,0.182100,,,0.000000,,,,,,
10,127680,0.166631,,,0.000000,,,,,,
11,140480,0.156148,,,0.000000,,,,,,
12,153280,0.144681,,,0.000000,,,,,,
13,166080,0.139189,,,0.000000,,,,,,
14,178880,0.130641,,,0.000000,,,,,,
15,191520,0.125313,,,0.000000,,,,,,
16,204320,0.116251,,,0.000000,,,,,,
17,217120,0.112459,,,0.000000,,,,,,
18,229920,0.108624,,,0.000000,,,,,,
19,242560,0.103365,,,0.000000,,,,,,
20,255360,0.099061,,,0.000000,,,,,,
21,268160,0.094843,,,0.000000,,,,,,
22,280960,0.091586,,,0.000000,,,,,,
23,293760,0.089542,,,0.000000,,,,,,
24,306400,0.087890,,,0.000000,,,,,,
25,319200,0.084218,,,0.000000,,,,,,
26,332000,0.081556,,,0.000000,,,,,,
27,344800,0.078695,,,0.000000,,,,,,
28,357600,0.078630,,,0.000000,,,,,,
29,370240,0.075879,,,0.000000,,,,,,
30,383040,0.074143,,,0.000000,,,,,,
31,395840,0.073372,,,0.000000,,,,,,
32,408640,0.069834,,,0.000000,,,,,,
33,421280,0.067935,,,0.000000,,,,,,
34,434080,0.067011,,,0.000000,,,,,,
35,446880,0.065472,,,0.000000,,,,,,
36,459680,0.065638,,,0.000000,,,,,,
37,472480,0.062853,,,0.000000,,,,,,
38,485120,0.061694,,,0.000000,,,,,,
39,497920,0.061032,,,0.000000,,,,,,
40,510720,0.059578,,,0.000000,,,,,,
41,523520,0.058393,,,0.000000,,,,,,
42,536320,0.057451,,,0.000000,,,,,,
43,548960,0.059505,,,0.000000,,,,,,
44,561760,0.055865,,,0.000000,,,,,,
45,574560,0.055342,,,0.000000,,,,,,
46,587360,0.054535,,,0.000000,,,,,,
47,600000,0.052890,,,0.000000,,,,,,
