round,grad_computations,train_loss,drift,grad_norm,h_label,radius,ball_hits,mean_hit_step,cos_client,cos_agg,cos_client_exact
0,0,2.303516,,,0.900220,,,,,,
1,44800,2.124888,,,0.900220,,,,,,
2,89312,1.912147,,,0.900220,,,,,,
3,133824,1.518402,,,0.900220,,,,,,
4,178434,1.193612,,,0.900220,,,,,,
5,223075,0.900772,,,0.900220,,,,,,
6,267648,0.712980,,,0.900220,,,,,,
7,312165,0.598438,,,0.900220,,,,,,
8,356770,0.510692,,,0.900220,,,,,,
9,401411,0.442426,,,0.900220,,,,,,
10,445928,0.395384,,,0.900220,,,,,,
11,490519,0.359298,,,0.900220,,,,,,
12,535106,0.321918,,,0.900220,,,,,,
13,579752,0.311787,,,0.900220,,,,,,
