round,grad_computations,train_loss,drift,grad_norm,h_label,radius,ball_hits,mean_hit_step,cos_client,cos_agg,cos_client_exact
0,0,2.309732,,,1.000000,,,,,,
1,12800,2.255446,,,1.000000,,,,,,
2,25600,2.155385,,,1.000000,,,,,,
3,38400,2.069682,,,1.000000,,,,,,
4,51200,1.982397,,,1.000000,,,,,,
5,63754,1.885494,,,1.000000,,,,,,
6,76512,1.784218,,,1.000000,,,,,,
7,89312,1.677035,,,1.000000,,,,,,
8,102112,1.603454,,,1.000000,,,,,,
9,114893,1.739278,,,1.000000,,,,,,
10,127466,2.239762,,,1.000000,,,,,,
11,140224,1.726650,,,1.000000,,,,,,
12,153024,1.519332,,,1.000000,,,,,,
13,165805,1.518505,,,1.000000,,,,,,
14,178456,1.745584,,,1.000000,,,,,,
15,191178,1.659697,,,1.000000,,,,,,
16,203936,1.435238,,,1.000000,,,,,,
17,216717,1.375369,,,1.000000,,,,,,
18,229517,1.228564,,,1.000000,,,,,,
19,242110,1.242719,,,1.000000,,,,,,
20,254890,1.087934,,,1.000000,,,,,,
21,267690,1.080042,,,1.000000,,,,,,
22,280429,1.004755,,,1.000000,,,,,,
23,293146,0.990830,,,1.000000,,,,,,
24,305809,1.353946,,,1.000000,,,,,,
25,318602,1.196496,,,1.000000,,,,,,
26,331383,1.175091,,,1.000000,,,,,,
27,344141,0.937350,,,1.000000,,,,,,
28,356792,0.877624,,,1.000000,,,,,,
29,369521,0.762456,,,1.000000,,,,,,
30,382295,0.879565,,,1.000000,,,,,,
31,395095,0.875712,,,1.000000,,,,,,
32,407853,1.034421,,,1.000000,,,,,,
33,420446,1.135342,,,1.000000,,,,,,
34,433214,0.970146,,,1.000000,,,,,,
35,446007,0.711858,,,1.000000,,,,,,
36,458807,0.648228,,,1.000000,,,,,,
37,471524,0.645690,,,1.000000,,,,,,
38,484158,0.702166,,,1.000000,,,,,,
39,496926,0.725020,,,1.000000,,,,,,
40,509719,0.843183,,,1.000000,,,,,,
41,522519,0.664307,,,1.000000,,,,,,
42,535170,0.600011,,,1.000000,,,,,,
43,547851,0.523826,,,1.000000,,,,,,
44,560638,0.506032,,,1.000000,,,,,,
45,573431,0.510383,,,1.000000,,,,,,
46,586148,0.680125,,,1.000000,,,,,,
47,598805,1.009224,,,1.000000,,,,,,
