round,grad_computations,train_loss,drift,grad_norm,h_label,radius,ball_hits,mean_hit_step,cos_client,cos_agg,cos_client_exact
0,0,2.309732,,,0.500113,,,,,,
1,3200,2.217076,,,0.500113,,,,,,
2,6400,2.110692,,,0.500113,,,,,,
3,9600,1.987078,,,0.500113,,,,,,
4,12800,1.854838,,,0.500113,,,,,,
5,16000,1.690017,,,0.500113,,,,,,
6,19200,1.511372,,,0.500113,,,,,,
7,22400,1.409781,,,0.500113,,,,,,
8,25600,1.248340,,,0.500113,,,,,,
9,28800,1.120331,,,0.500113,,,,,,
10,32000,0.997926,,,0.500113,,,,,,
11,35200,0.899541,,,0.500113,,,,,,
12,38400,0.819168,,,0.500113,,,,,,
13,41600,0.756916,,,0.500113,,,,,,
14,44800,0.710190,,,0.500113,,,,,,
15,48000,0.648454,,,0.500113,,,,,,
16,51200,0.612808,,,0.500113,,,,,,
17,54400,0.569529,,,0.500113,,,,,,
18,57557,0.520215,,,0.500113,,,,,,
19,60585,0.494348,,,0.500113,,,,,,
20,63713,0.466747,,,0.500113,,,,,,
21,66912,0.437298,,,0.500113,,,,,,
22,70112,0.431186,,,0.500113,,,,,,
23,73312,0.419179,,,0.500113,,,,,,
24,76512,0.398150,,,0.500113,,,,,,
25,79712,0.377944,,,0.500113,,,,,,
26,82912,0.366273,,,0.500113,,,,,,
27,86112,0.345913,,,0.500113,,,,,,
28,89312,0.335801,,,0.500113,,,,,,
29,92512,0.341193,,,0.500113,,,,,,
30,95712,0.315785,,,0.500113,,,,,,
31,98912,0.305748,,,0.500113,,,,,,
32,102112,0.302558,,,0.500113,,,,,,
33,105312,0.292987,,,0.500113,,,,,,
34,108512,0.281396,,,0.500113,,,,,,
35,111712,0.276173,,,0.500113,,,,,,
36,114869,0.270515,,,0.500113,,,,,,
37,118069,0.265218,,,0.500113,,,,,,
38,121097,0.260388,,,0.500113,,,,,,
39,124225,0.253362,,,0.500113,,,,,,
40,127425,0.248203,,,0.500113,,,,,,
41,130624,0.243106,,,0.500113,,,,,,
42,133824,0.236966,,,0.500113,,,,,,
43,137024,0.233578,,,0.500113,,,,,,
44,140224,0.226419,,,0.500113,,,,,,
45,143424,0.221889,,,0.500113,,,,,,
46,146624,0.218246,,,0.500113,,,,,,
47,149824,0.215549,,,0.500113,,,,,,
48,153024,0.210491,,,0.500113,,,,,,
49,156224,0.206921,,,0.500113,,,,,,
50,159424,0.206001,,,0.500113,,,,,,
51,162624,0.207259,,,0.500113,,,,,,
52,165824,0.200566,,,0.500113,,,,,,
53,168981,0.197776,,,0.500113,,,,,,
54,172181,0.195340,,,0.500113,,,,,,
55,175381,0.190939,,,0.500113,,,,,,
56,178507,0.188644,,,0.500113,,,,,,
57,181609,0.193143,,,0.500113,,,,,,
58,184758,0.188015,,,0.500113,,,,,,
59,187937,0.182208,,,0.500113,,,,,,
60,191137,0.179229,,,0.500113,,,,,,
61,194337,0.177587,,,0.500113,,,,,,
62,197536,0.175917,,,0.500113,,,,,,
63,200736,0.171561,,,0.500113,,,,,,
64,203936,0.169007,,,0.500113,,,,,,
65,207136,0.168603,,,0.500113,,,,,,
66,210336,0.165208,,,0.500113,,,,,,
67,213536,0.163372,,,0.500113,,,,,,
68,216736,0.162572,,,0.500113,,,,,,
69,219936,0.159496,,,0.500113,,,,,,
70,223136,0.157982,,,0.500113,,,,,,
71,226293,0.158271,,,0.500113,,,,,,
72,229493,0.155730,,,0.500113,,,,,,
73,232693,0.153370,,,0.500113,,,,,,
74,235893,0.151283,,,0.500113,,,,,,
75,239019,0.150406,,,0.500113,,,,,,
76,242121,0.149819,,,0.500113,,,,,,
77,245270,0.147542,,,0.500113,,,,,,
78,248449,0.145716,,,0.500113,,,,,,
79,251649,0.143672,,,0.500113,,,,,,
80,254849,0.143941,,,0.500113,,,,,,
81,258049,0.142713,,,0.500113,,,,,,
82,261248,0.140410,,,0.500113,,,,,,
83,264448,0.138229,,,0.500113,,,,,,
84,267648,0.138705,,,0.500113,,,,,,
85,270848,0.136630,,,0.500113,,,,,,
86,274048,0.134530,,,0.500113,,,,,,
87,277248,0.133982,,,0.500113,,,,,,
88,280405,0.131843,,,0.500113,,,,,,
