round,grad_computations,train_loss,drift,grad_norm,h_label
0,0,4.608579,2.066828e+00,1.503855e-01,0.850242
5,32000,4.584836,4.756927e+00,3.043196e-01,0.850242
10,62800,4.541538,4.998734e+00,3.239471e-01,0.850242
15,94800,4.491547,5.265452e+00,3.610325e-01,0.850242
20,125600,4.433816,5.828750e+00,4.273888e-01,0.850242
25,156400,4.383724,5.603123e+00,4.803701e-01,0.850242
30,188400,4.324688,5.870825e+00,5.248847e-01,0.850242
35,219200,4.284295,5.777738e+00,5.613534e-01,0.850242
40,250000,4.225795,6.424583e+00,5.949068e-01,0.850242
45,282000,4.187032,6.563886e+00,6.269839e-01,0.850242
50,312800,4.167002,6.584938e+00,6.509098e-01,0.850242
55,344800,4.132762,6.864306e+00,6.734394e-01,0.850242
60,375600,4.102344,7.038837e+00,6.848010e-01,0.850242
65,406400,4.065332,7.100005e+00,6.911331e-01,0.850242
70,438400,4.067823,7.220253e+00,7.196598e-01,0.850242
75,469200,4.009476,7.397521e+00,7.245169e-01,0.850242
80,500000,3.976068,7.271432e+00,7.472785e-01,0.850242
85,532000,3.969677,7.122305e+00,7.684278e-01,0.850242
90,562800,3.919959,7.426839e+00,7.582194e-01,0.850242
95,594800,3.903314,7.785716e+00,7.552359e-01,0.850242
100,625600,3.885215,7.810829e+00,7.724502e-01,0.850242
