round,grad_computations,train_loss,drift,grad_norm,h_label
0,0,4.608579,3.874789e-01,1.503855e-01,0.050033
5,32000,4.581058,4.891117e-01,1.660833e-01,0.050033
10,62800,4.518163,7.905137e-01,2.741947e-01,0.050033
15,94800,4.387297,1.237368e+00,3.892076e-01,0.050033
20,125600,4.242334,1.475369e+00,4.835597e-01,0.050033
25,156400,4.107795,1.608490e+00,1.075894e+00,0.050033
30,188400,4.002303,1.610120e+00,5.328038e-01,0.050033
35,219200,3.934413,1.612395e+00,5.074846e-01,0.050033
40,250000,3.959146,1.644235e+00,5.334568e-01,0.050033
45,282000,3.834345,1.619392e+00,5.137014e-01,0.050033
50,312800,3.788416,1.597903e+00,5.149196e-01,0.050033
55,344800,3.748124,1.617767e+00,5.112008e-01,0.050033
60,375600,3.715876,1.632045e+00,5.021755e-01,0.050033
65,406400,3.681124,1.712730e+00,9.673104e-01,0.050033
70,438400,3.638029,1.666690e+00,4.991385e-01,0.050033
75,469200,3.609544,1.680808e+00,4.974987e-01,0.050033
80,500000,3.609809,1.692369e+00,5.149077e-01,0.050033
85,532000,3.544335,1.714171e+00,5.084159e-01,0.050033
90,562800,3.516173,1.690090e+00,5.681312e-01,0.050033
95,594800,3.474148,1.732524e+00,5.663094e-01,0.050033
100,625600,3.443570,1.730852e+00,5.641242e-01,0.050033
