round,grad_computations,train_loss,drift,grad_norm,h_label
0,0,4.606946,4.652541e-01,1.181110e-01,0.100064
5,32000,4.586336,7.359659e-01,1.502731e-01,0.100064
10,62800,4.530089,1.480338e+00,2.858738e-01,0.100064
15,94800,4.421598,1.989126e+00,3.759734e-01,0.100064
20,125600,4.303876,2.079196e+00,4.347547e-01,0.100064
25,156400,4.189259,2.249081e+00,7.330955e-01,0.100064
30,188400,4.070858,2.308399e+00,5.430037e-01,0.100064
35,219200,3.985878,2.297482e+00,5.595833e-01,0.100064
40,250000,3.955534,2.365800e+00,5.642801e-01,0.100064
45,282000,3.851580,2.354282e+00,5.372050e-01,0.100064
50,312800,3.796279,2.320919e+00,5.482566e-01,0.100064
55,344800,3.747629,2.379389e+00,5.293039e-01,0.100064
60,375600,3.700229,2.407311e+00,5.359631e-01,0.100064
65,406400,3.663500,2.387191e+00,1.005013e+00,0.100064
70,438400,3.611849,2.417901e+00,5.281710e-01,0.100064
75,469200,3.589072,2.388994e+00,5.350555e-01,0.100064
80,500000,3.614366,2.407753e+00,5.685019e-01,0.100064
85,532000,3.522774,2.395894e+00,5.277247e-01,0.100064
90,562800,3.493150,2.408305e+00,5.487443e-01,0.100064
95,594800,3.462442,2.448014e+00,5.168526e-01,0.100064
100,625600,3.435733,2.463609e+00,5.489680e-01,0.100064
