round,grad_computations,train_loss,drift,grad_norm,h_label
0,0,4.606946,5.904997e-01,1.181110e-01,0.150008
5,32000,4.584373,1.274372e+00,2.021387e-01,0.150008
10,62800,4.510849,2.295274e+00,3.259466e-01,0.150008
15,94800,4.411830,2.523672e+00,3.848117e-01,0.150008
20,125600,4.301730,2.632706e+00,4.493284e-01,0.150008
25,156400,4.194388,2.818607e+00,6.564758e-01,0.150008
30,188400,4.073720,2.853247e+00,5.482765e-01,0.150008
35,219200,3.994931,2.831644e+00,5.606240e-01,0.150008
40,250000,3.939288,2.789803e+00,5.948419e-01,0.150008
45,282000,3.865159,2.834485e+00,5.461434e-01,0.150008
50,312800,3.804270,2.937798e+00,5.443686e-01,0.150008
55,344800,3.761100,2.852621e+00,5.659830e-01,0.150008
60,375600,3.716911,2.960768e+00,5.451425e-01,0.150008
65,406400,3.677465,2.985328e+00,9.936543e-01,0.150008
70,438400,3.639890,2.922924e+00,5.759358e-01,0.150008
75,469200,3.608060,2.979626e+00,5.267713e-01,0.150008
80,500000,3.598977,2.966627e+00,5.635409e-01,0.150008
85,532000,3.538377,3.009032e+00,5.587735e-01,0.150008
90,562800,3.514796,3.004287e+00,5.527120e-01,0.150008
95,594800,3.480964,2.994529e+00,6.867060e-01,0.150008
100,625600,3.453026,3.036167e+00,6.092060e-01,0.150008
