round,grad_computations,train_loss,drift,grad_norm,h_label
0,0,4.608579,5.716028e-01,1.503855e-01,0.100064
5,32000,4.576228,9.823790e-01,2.171789e-01,0.100064
10,62800,4.480732,1.846088e+00,3.627293e-01,0.100064
15,94800,4.350378,2.107470e+00,4.422902e-01,0.100064
20,125600,4.212292,2.241337e+00,5.268561e-01,0.100064
25,156400,4.091973,2.293840e+00,8.374888e-01,0.100064
30,188400,4.005185,2.288202e+00,5.703889e-01,0.100064
35,219200,3.947039,2.315766e+00,5.317118e-01,0.100064
40,250000,3.944090,2.349436e+00,5.066996e-01,0.100064
45,282000,3.838984,2.339459e+00,5.358729e-01,0.100064
50,312800,3.798255,2.237942e+00,5.448501e-01,0.100064
55,344800,3.752509,2.336629e+00,5.251135e-01,0.100064
60,375600,3.716570,2.284456e+00,5.526401e-01,0.100064
65,406400,3.690946,2.377635e+00,9.411711e-01,0.100064
70,438400,3.649873,2.373616e+00,5.528837e-01,0.100064
75,469200,3.625538,2.447083e+00,4.850428e-01,0.100064
80,500000,3.623021,2.393428e+00,5.277116e-01,0.100064
85,532000,3.555670,2.433976e+00,5.369539e-01,0.100064
90,562800,3.530613,2.392923e+00,5.591574e-01,0.100064
95,594800,3.494219,2.495444e+00,5.136181e-01,0.100064
100,625600,3.461456,2.456517e+00,5.276046e-01,0.100064
