round,grad_computations,train_loss,drift,grad_norm,h_label
0,0,4.610444,1.395416e+00,1.501426e-01,0.449915
5,32000,4.574021,4.244099e+00,3.099410e-01,0.449915
10,62800,4.508278,4.143055e+00,3.523997e-01,0.449915
15,94800,4.431941,4.429186e+00,3.802310e-01,0.449915
20,125600,4.365177,4.618961e+00,4.318881e-01,0.449915
25,156400,4.282460,4.882896e+00,4.991337e-01,0.449915
30,188400,4.192386,4.733518e+00,5.574485e-01,0.449915
35,219200,4.121502,4.668263e+00,5.764147e-01,0.449915
40,250000,4.054283,4.841038e+00,5.928246e-01,0.449915
45,282000,3.999726,4.912606e+00,6.002223e-01,0.449915
50,312800,3.946894,4.852407e+00,6.199479e-01,0.449915
55,344800,3.902898,5.052522e+00,5.948274e-01,0.449915
60,375600,3.858538,5.103005e+00,6.284940e-01,0.449915
65,406400,3.829241,5.106882e+00,6.502294e-01,0.449915
70,438400,3.782315,5.150693e+00,6.424393e-01,0.449915
75,469200,3.747294,5.418673e+00,6.111974e-01,0.449915
80,500000,3.734828,5.210292e+00,6.802996e-01,0.449915
85,532000,3.692502,5.357422e+00,6.551520e-01,0.449915
90,562800,3.652195,5.224972e+00,7.001138e-01,0.449915
95,594800,3.619087,5.257371e+00,6.987199e-01,0.449915
100,625600,3.589962,5.569445e+00,6.322587e-01,0.449915
