round,grad_computations,train_loss,drift,grad_norm,h_label
0,0,4.608579,1.112182e+00,1.503855e-01,0.299943
5,32000,4.559462,3.417650e+00,3.387369e-01,0.299943
10,62800,4.473614,3.462811e+00,3.734244e-01,0.299943
15,94800,4.364900,3.553740e+00,4.411084e-01,0.299943
20,125600,4.263665,3.861607e+00,5.018918e-01,0.299943
25,156400,4.153665,3.826366e+00,6.159742e-01,0.299943
30,188400,4.071911,3.894660e+00,5.702092e-01,0.299943
35,219200,4.018794,3.896817e+00,5.887422e-01,0.299943
40,250000,3.977713,3.806543e+00,5.922213e-01,0.299943
45,282000,3.917448,4.017302e+00,5.772567e-01,0.299943
50,312800,3.885076,4.048733e+00,5.778192e-01,0.299943
55,344800,3.847202,4.052519e+00,5.635675e-01,0.299943
60,375600,3.801104,4.068107e+00,5.703479e-01,0.299943
65,406400,3.780338,3.906792e+00,7.562612e-01,0.299943
70,438400,3.737897,4.153608e+00,5.730657e-01,0.299943
75,469200,3.705869,4.217847e+00,5.774288e-01,0.299943
80,500000,3.674740,4.345158e+00,5.605937e-01,0.299943
85,532000,3.643415,4.308530e+00,6.099273e-01,0.299943
90,562800,3.619287,4.245601e+00,6.578448e-01,0.299943
95,594800,3.580866,4.323781e+00,5.998092e-01,0.299943
100,625600,3.555871,4.306615e+00,6.743642e-01,0.299943
