round,grad_computations,train_loss,drift,grad_norm,h_label
0,0,4.610444,1.301381e+00,1.501426e-01,0.400269
5,32000,4.571391,3.943941e+00,3.226497e-01,0.400269
10,62800,4.505027,4.324625e+00,3.611303e-01,0.400269
15,94800,4.425220,3.955075e+00,3.845285e-01,0.400269
20,125600,4.357528,4.329566e+00,4.506480e-01,0.400269
25,156400,4.263276,4.407745e+00,5.576406e-01,0.400269
30,188400,4.169709,4.475426e+00,5.349388e-01,0.400269
35,219200,4.097753,4.595727e+00,5.664965e-01,0.400269
40,250000,4.037038,4.661002e+00,5.849334e-01,0.400269
45,282000,3.972154,4.845169e+00,5.683726e-01,0.400269
50,312800,3.916672,4.682246e+00,6.050634e-01,0.400269
55,344800,3.881897,4.791799e+00,5.839593e-01,0.400269
60,375600,3.835308,4.599805e+00,6.287009e-01,0.400269
65,406400,3.801620,4.548988e+00,6.901971e-01,0.400269
70,438400,3.762763,4.969420e+00,6.064232e-01,0.400269
75,469200,3.720678,4.933895e+00,6.094643e-01,0.400269
80,500000,3.716969,4.915156e+00,6.432953e-01,0.400269
85,532000,3.654094,4.959556e+00,6.283893e-01,0.400269
90,562800,3.619644,4.960954e+00,6.427041e-01,0.400269
95,594800,3.588231,4.817595e+00,7.157554e-01,0.400269
100,625600,3.572789,5.008525e+00,6.712699e-01,0.400269
