round,grad_computations,train_loss,drift,grad_norm,h_label
0,0,4.606946,3.138367e-01,1.181110e-01,0.050033
5,32000,4.588815,3.852006e-01,1.275579e-01,0.050033
10,62800,4.555754,5.799379e-01,1.866249e-01,0.050033
15,94800,4.477115,9.189476e-01,2.915516e-01,0.050033
20,125600,4.347316,1.306703e+00,4.164435e-01,0.050033
25,156400,4.215650,1.534830e+00,8.230122e-01,0.050033
30,188400,4.085913,1.586723e+00,5.207004e-01,0.050033
35,219200,3.987450,1.618176e+00,5.338816e-01,0.050033
40,250000,3.972028,1.624946e+00,5.233532e-01,0.050033
45,282000,3.849018,1.620939e+00,5.482115e-01,0.050033
50,312800,3.794525,1.611901e+00,5.381942e-01,0.050033
55,344800,3.740208,1.624180e+00,5.688193e-01,0.050033
60,375600,3.688713,1.654734e+00,5.157276e-01,0.050033
65,406400,3.652737,1.697766e+00,7.977421e-01,0.050033
70,438400,3.609093,1.653852e+00,5.171897e-01,0.050033
75,469200,3.571821,1.640126e+00,5.759643e-01,0.050033
80,500000,3.613273,1.665663e+00,5.491170e-01,0.050033
85,532000,3.516520,1.670358e+00,5.782702e-01,0.050033
90,562800,3.486663,1.654301e+00,5.549254e-01,0.050033
95,594800,3.451803,1.692786e+00,5.591582e-01,0.050033
100,625600,3.423089,1.681321e+00,5.553676e-01,0.050033
