round,grad_computations,train_loss,drift,grad_norm,h_label
0,0,4.610444,,,0.000000
1,88400,4.529910,,,0.000000
2,175600,4.312392,,,0.000000
3,262800,4.134067,,,0.000000
4,350000,3.884790,,,0.000000
5,438400,3.737222,,,0.000000
6,525600,3.651886,,,0.000000
7,612800,3.569793,,,0.000000
8,700000,3.481740,,,0.000000
9,788400,3.387262,,,0.000000
10,875600,3.331477,,,0.000000
11,962800,3.287660,,,0.000000
12,1050000,3.220059,,,0.000000
13,1138400,3.150368,,,0.000000
14,1225600,3.068718,,,0.000000
15,1312800,3.031044,,,0.000000
16,1400000,2.995746,,,0.000000
17,1488400,2.888099,,,0.000000
18,1575600,2.866779,,,0.000000
19,1662800,2.831355,,,0.000000
20,1750000,2.806175,,,0.000000
21,1838400,2.704474,,,0.000000
22,1925600,2.683628,,,0.000000
23,2012800,2.657932,,,0.000000
24,2100000,2.638408,,,0.000000
25,2188400,2.523844,,,0.000000
26,2275600,2.536092,,,0.000000
27,2362800,2.501904,,,0.000000
28,2450000,2.453069,,,0.000000
29,2538400,2.366044,,,0.000000
30,2625600,2.339533,,,0.000000
31,2712800,2.329419,,,0.000000
32,2800000,2.395926,,,0.000000
33,2888400,2.202680,,,0.000000
34,2975600,2.209561,,,0.000000
35,3062800,2.199554,,,0.000000
36,3150000,2.187111,,,0.000000
37,3238400,2.055604,,,0.000000
38,3325600,2.042319,,,0.000000
39,3412800,2.044840,,,0.000000
40,3500000,2.000964,,,0.000000
41,3588400,1.940835,,,0.000000
42,3675600,1.900892,,,0.000000
43,3762800,1.913880,,,0.000000
44,3850000,1.880710,,,0.000000
45,3938400,1.766586,,,0.000000
46,4025600,1.787284,,,0.000000
47,4112800,1.760886,,,0.000000
48,4200000,1.729858,,,0.000000
49,4288400,1.611697,,,0.000000
50,4375600,1.662635,,,0.000000
51,4462800,1.621069,,,0.000000
52,4550000,1.591280,,,0.000000
53,4638400,1.482171,,,0.000000
54,4725600,1.497383,,,0.000000
55,4812800,1.517408,,,0.000000
56,4900000,1.421325,,,0.000000
