round,grad_computations,train_loss,drift,grad_norm,h_label
0,0,4.606946,,,0.500221
1,188400,4.519625,,,0.500221
2,375600,4.270179,,,0.500221
3,562800,3.980466,,,0.500221
4,750000,3.730213,,,0.500221
5,938400,3.584327,,,0.500221
6,1125600,3.454234,,,0.500221
7,1312800,3.380237,,,0.500221
8,1500000,3.199684,,,0.500221
9,1688400,3.073674,,,0.500221
10,1875600,3.000956,,,0.500221
11,2062800,2.891754,,,0.500221
12,2250000,2.796449,,,0.500221
13,2438400,2.687705,,,0.500221
14,2625600,2.644601,,,0.500221
15,2812800,2.584383,,,0.500221
16,3000000,2.507346,,,0.500221
17,3188400,2.408908,,,0.500221
18,3375600,2.362943,,,0.500221
19,3562800,2.315879,,,0.500221
20,3750000,2.265963,,,0.500221
21,3938400,2.199078,,,0.500221
22,4125600,2.172481,,,0.500221
23,4312800,2.155688,,,0.500221
24,4500000,2.088420,,,0.500221
25,4688400,2.009200,,,0.500221
26,4875600,1.960848,,,0.500221
