round,grad_computations,train_loss,drift,grad_norm,h_label
0,0,4.606456,,,0.000000
1,63952,3.262900,,,0.000000
2,127904,2.671906,,,0.000000
3,191856,2.250931,,,0.000000
4,255760,1.879947,,,0.000000
5,319712,1.541761,,,0.000000
6,383664,1.360800,,,0.000000
7,447616,0.893497,,,0.000000
8,511520,0.582534,,,0.000000
9,575472,0.372454,,,0.000000
10,639424,0.294517,,,0.000000
11,703328,0.149427,,,0.000000
12,767280,0.124939,,,0.000000
13,831232,0.079873,,,0.000000
14,895184,0.081746,,,0.000000
15,959088,0.052585,,,0.000000
16,1023040,0.045692,,,0.000000
17,1086992,0.024254,,,0.000000
18,1150896,0.016974,,,0.000000
19,1214848,0.008348,,,0.000000
20,1278800,0.005722,,,0.000000
21,1342752,0.004924,,,0.000000
22,1406656,0.004040,,,0.000000
23,1470608,0.004653,,,0.000000
24,1534560,0.004833,,,0.000000
25,1598512,0.003683,,,0.000000
26,1662416,0.003713,,,0.000000
27,1726368,0.003204,,,0.000000
28,1790320,0.003542,,,0.000000
29,1854224,0.002812,,,0.000000
30,1918176,0.002608,,,0.000000
31,1982128,0.003590,,,0.000000
32,2046080,0.002452,,,0.000000
33,2109984,0.002605,,,0.000000
34,2173936,0.002188,,,0.000000
35,2237888,0.002505,,,0.000000
36,2301792,0.002154,,,0.000000
37,2365744,0.001675,,,0.000000
38,2429696,0.001831,,,0.000000
39,2493648,0.001731,,,0.000000
40,2557552,0.001510,,,0.000000
41,2621504,0.001586,,,0.000000
42,2685456,0.001454,,,0.000000
43,2749408,0.001684,,,0.000000
44,2813312,0.001328,,,0.000000
45,2877264,0.001438,,,0.000000
46,2941216,0.001274,,,0.000000
47,3005120,0.001317,,,0.000000
48,3069072,0.001060,,,0.000000
49,3133024,0.001238,,,0.000000
50,3196976,0.001141,,,0.000000
51,3260880,0.001276,,,0.000000
52,3324832,0.001041,,,0.000000
53,3388784,0.001125,,,0.000000
54,3452688,0.000906,,,0.000000
55,3516640,0.001126,,,0.000000
56,3580592,0.000882,,,0.000000
57,3644544,0.000921,,,0.000000
58,3708448,0.000836,,,0.000000
59,3772400,0.000755,,,0.000000
60,3836352,0.000761,,,0.000000
61,3900256,0.001011,,,0.000000
62,3964208,0.001611,,,0.000000
63,4028160,0.000778,,,0.000000
64,4092112,0.000751,,,0.000000
65,4156016,0.000751,,,0.000000
66,4219968,0.000706,,,0.000000
67,4283920,0.000682,,,0.000000
68,4347872,0.000636,,,0.000000
69,4411776,0.000570,,,0.000000
70,4475728,0.000586,,,0.000000
71,4539680,0.000600,,,0.000000
72,4603584,0.000585,,,0.000000
73,4667536,0.000536,,,0.000000
74,4731488,0.000545,,,0.000000
75,4795440,0.000527,,,0.000000
76,4859344,0.000510,,,0.000000
77,4923296,0.000503,,,0.000000
78,4987248,0.000550,,,0.000000
