round,grad_computations,train_loss,drift,grad_norm,h_label
0,0,4.606946,,,0.000000
39,49920,4.579630,,,0.000000
78,98640,4.509636,,,0.000000
117,147360,4.312732,,,0.000000
156,196080,4.017311,,,0.000000
195,244800,3.844679,,,0.000000
234,293520,3.769164,,,0.000000
273,342240,3.685996,,,0.000000
312,390960,3.569171,,,0.000000
351,439680,3.494104,,,0.000000
390,488400,3.507737,,,0.000000
429,537120,3.377486,,,0.000000
468,585840,3.355092,,,0.000000
507,634560,3.304544,,,0.000000
546,683280,3.276620,,,0.000000
585,732000,3.244885,,,0.000000
624,780720,3.169055,,,0.000000
663,829440,3.136748,,,0.000000
702,878160,3.088194,,,0.000000
741,926880,3.036535,,,0.000000
780,975600,3.052714,,,0.000000
819,1024320,2.961758,,,0.000000
858,1073040,2.950902,,,0.000000
897,1121760,2.937453,,,0.000000
936,1170480,2.889620,,,0.000000
975,1219200,2.784454,,,0.000000
1014,1267920,2.814357,,,0.000000
1053,1316640,2.727566,,,0.000000
1092,1365360,2.741288,,,0.000000
1131,1414080,2.772002,,,0.000000
1170,1462800,2.665482,,,0.000000
1209,1511520,2.594181,,,0.000000
1248,1560240,2.571382,,,0.000000
1287,1608960,2.557864,,,0.000000
1326,1657680,2.500852,,,0.000000
1365,1706400,2.477151,,,0.000000
1404,1755120,2.484093,,,0.000000
1443,1803840,2.453366,,,0.000000
1482,1852560,2.481891,,,0.000000
1521,1901280,2.797138,,,0.000000
1560,1950000,3.053486,,,0.000000
1599,1999920,2.310553,,,0.000000
1638,2048640,2.290079,,,0.000000
1677,2097360,2.213484,,,0.000000
1716,2146080,2.267738,,,0.000000
1755,2194800,2.187255,,,0.000000
1794,2243520,2.187447,,,0.000000
1833,2292240,2.165727,,,0.000000
1872,2340960,2.108585,,,0.000000
1911,2389680,2.046775,,,0.000000
1950,2438400,2.106575,,,0.000000
1989,2487120,2.100116,,,0.000000
2028,2535840,2.056500,,,0.000000
2067,2584560,1.988557,,,0.000000
2106,2633280,1.935134,,,0.000000
2145,2682000,2.061483,,,0.000000
2184,2730720,1.879135,,,0.000000
2223,2779440,1.845623,,,0.000000
2262,2828160,1.885625,,,0.000000
2301,2876880,1.819838,,,0.000000
2340,2925600,1.842466,,,0.000000
2379,2974320,1.849725,,,0.000000
2418,3023040,1.765505,,,0.000000
2457,3071760,1.738653,,,0.000000
2496,3120480,1.699049,,,0.000000
2535,3169200,1.763362,,,0.000000
2574,3217920,1.630798,,,0.000000
2613,3266640,1.651322,,,0.000000
2652,3315360,1.628763,,,0.000000
2691,3364080,1.551722,,,0.000000
2730,3412800,1.519562,,,0.000000
2769,3461520,1.474318,,,0.000000
2808,3510240,1.461785,,,0.000000
2847,3558960,1.455238,,,0.000000
2886,3607680,1.416146,,,0.000000
2925,3656400,1.407252,,,0.000000
2964,3705120,1.572848,,,0.000000
3003,3753840,1.510062,,,0.000000
3042,3802560,2.779906,,,0.000000
3081,3851280,1.718088,,,0.000000
3120,3900000,2.505972,,,0.000000
3159,3949920,1.249520,,,0.000000
3198,3998640,1.223374,,,0.000000
3237,4047360,1.256962,,,0.000000
3276,4096080,1.164596,,,0.000000
3315,4144800,1.169793,,,0.000000
3354,4193520,1.151628,,,0.000000
3393,4242240,1.189535,,,0.000000
3432,4290960,1.044890,,,0.000000
3471,4339680,1.042757,,,0.000000
3510,4388400,1.027913,,,0.000000
3549,4437120,1.043109,,,0.000000
3588,4485840,1.063793,,,0.000000
3627,4534560,0.999772,,,0.000000
3666,4583280,0.948660,,,0.000000
3705,4632000,0.975660,,,0.000000
3744,4680720,0.996952,,,0.000000
3783,4729440,0.859629,,,0.000000
3822,4778160,0.816227,,,0.000000
3861,4826880,0.825383,,,0.000000
3900,4875600,0.730287,,,0.000000
3906,4883280,0.758546,,,0.000000
