round,grad_computations,train_loss,drift,grad_norm,h_label
0,0,4.606413,,,0.000000
1,63952,3.169062,,,0.000000
2,127904,2.578210,,,0.000000
3,191856,2.218847,,,0.000000
4,255760,1.866207,,,0.000000
5,319712,1.509260,,,0.000000
6,383664,1.186988,,,0.000000
7,447616,0.921929,,,0.000000
8,511520,0.579116,,,0.000000
9,575472,0.395064,,,0.000000
10,639424,0.281743,,,0.000000
11,703328,0.158780,,,0.000000
12,767280,0.083992,,,0.000000
13,831232,0.083743,,,0.000000
14,895184,0.081864,,,0.000000
15,959088,0.051457,,,0.000000
16,1023040,0.038783,,,0.000000
17,1086992,0.020540,,,0.000000
18,1150896,0.012782,,,0.000000
19,1214848,0.006039,,,0.000000
20,1278800,0.004980,,,0.000000
21,1342752,0.004764,,,0.000000
22,1406656,0.005365,,,0.000000
23,1470608,0.004467,,,0.000000
24,1534560,0.003929,,,0.000000
25,1598512,0.004424,,,0.000000
26,1662416,0.003118,,,0.000000
27,1726368,0.003200,,,0.000000
28,1790320,0.003450,,,0.000000
29,1854224,0.002846,,,0.000000
30,1918176,0.003095,,,0.000000
31,1982128,0.002721,,,0.000000
32,2046080,0.002407,,,0.000000
33,2109984,0.002374,,,0.000000
34,2173936,0.002428,,,0.000000
35,2237888,0.002370,,,0.000000
36,2301792,0.002021,,,0.000000
37,2365744,0.002252,,,0.000000
38,2429696,0.002108,,,0.000000
39,2493648,0.001605,,,0.000000
40,2557552,0.001592,,,0.000000
41,2621504,0.001728,,,0.000000
42,2685456,0.001511,,,0.000000
43,2749408,0.001972,,,0.000000
44,2813312,0.001509,,,0.000000
45,2877264,0.001402,,,0.000000
46,2941216,0.001330,,,0.000000
47,3005120,0.001713,,,0.000000
48,3069072,0.001091,,,0.000000
49,3133024,0.001306,,,0.000000
50,3196976,0.001323,,,0.000000
51,3260880,0.001233,,,0.000000
52,3324832,0.001160,,,0.000000
53,3388784,0.000983,,,0.000000
54,3452688,0.000957,,,0.000000
55,3516640,0.001033,,,0.000000
56,3580592,0.000984,,,0.000000
57,3644544,0.000949,,,0.000000
58,3708448,0.000913,,,0.000000
59,3772400,0.000857,,,0.000000
60,3836352,0.000805,,,0.000000
61,3900256,0.000807,,,0.000000
62,3964208,0.000730,,,0.000000
63,4028160,0.000731,,,0.000000
64,4092112,0.000670,,,0.000000
65,4156016,0.000691,,,0.000000
66,4219968,0.000775,,,0.000000
67,4283920,0.000638,,,0.000000
68,4347872,0.000634,,,0.000000
69,4411776,0.000651,,,0.000000
70,4475728,0.000645,,,0.000000
71,4539680,0.000582,,,0.000000
72,4603584,0.000574,,,0.000000
73,4667536,0.000627,,,0.000000
74,4731488,0.000557,,,0.000000
75,4795440,0.000534,,,0.000000
76,4859344,0.000602,,,0.000000
77,4923296,0.000554,,,0.000000
78,4987248,0.000547,,,0.000000
