round,grad_computations,train_loss,drift,grad_norm,h_label
0,0,4.610444,,,0.000000
7,44800,4.578659,,,0.000000
14,88400,4.505415,,,0.000000
21,132000,4.360988,,,0.000000
28,175600,4.209718,,,0.000000
35,219200,4.052231,,,0.000000
42,262800,3.931826,,,0.000000
49,306400,3.844204,,,0.000000
56,350000,3.821203,,,0.000000
63,394800,3.687342,,,0.000000
70,438400,3.623689,,,0.000000
77,482000,3.569790,,,0.000000
84,525600,3.516732,,,0.000000
91,569200,3.469464,,,0.000000
98,612800,3.428288,,,0.000000
105,656400,3.395317,,,0.000000
112,700000,3.396970,,,0.000000
119,744800,3.307625,,,0.000000
126,788400,3.266613,,,0.000000
133,832000,3.223552,,,0.000000
140,875600,3.190938,,,0.000000
147,919200,3.150235,,,0.000000
154,962800,3.115744,,,0.000000
161,1006400,3.077480,,,0.000000
168,1050000,3.113653,,,0.000000
175,1094800,3.010445,,,0.000000
182,1138400,2.979039,,,0.000000
189,1182000,2.949234,,,0.000000
196,1225600,2.915328,,,0.000000
203,1269200,2.890083,,,0.000000
210,1312800,2.857911,,,0.000000
217,1356400,2.839294,,,0.000000
224,1400000,2.887067,,,0.000000
231,1444800,2.775962,,,0.000000
238,1488400,2.757120,,,0.000000
245,1532000,2.721006,,,0.000000
252,1575600,2.701076,,,0.000000
259,1619200,2.677840,,,0.000000
266,1662800,2.654265,,,0.000000
273,1706400,2.636670,,,0.000000
280,1750000,2.748804,,,0.000000
287,1794800,2.576785,,,0.000000
294,1838400,2.553813,,,0.000000
301,1882000,2.521255,,,0.000000
308,1925600,2.504337,,,0.000000
315,1969200,2.480747,,,0.000000
322,2012800,2.460861,,,0.000000
329,2056400,2.442560,,,0.000000
336,2100000,2.537412,,,0.000000
343,2144800,2.394979,,,0.000000
350,2188400,2.368568,,,0.000000
357,2232000,2.340263,,,0.000000
364,2275600,2.321093,,,0.000000
371,2319200,2.297859,,,0.000000
378,2362800,2.282282,,,0.000000
385,2406400,2.267128,,,0.000000
392,2450000,2.408194,,,0.000000
399,2494800,2.218370,,,0.000000
406,2538400,2.196066,,,0.000000
413,2582000,2.178671,,,0.000000
420,2625600,2.156155,,,0.000000
427,2669200,2.135254,,,0.000000
434,2712800,2.116862,,,0.000000
441,2756400,2.109766,,,0.000000
448,2800000,2.199446,,,0.000000
455,2844800,2.056927,,,0.000000
462,2888400,2.034894,,,0.000000
469,2932000,2.023029,,,0.000000
476,2975600,1.998795,,,0.000000
483,3019200,1.975348,,,0.000000
490,3062800,1.956561,,,0.000000
497,3106400,1.945143,,,0.000000
504,3150000,2.056600,,,0.000000
511,3194800,1.901274,,,0.000000
518,3238400,1.871390,,,0.000000
525,3282000,1.857627,,,0.000000
532,3325600,1.839315,,,0.000000
539,3369200,1.814551,,,0.000000
546,3412800,1.801640,,,0.000000
553,3456400,1.791209,,,0.000000
560,3500000,1.946670,,,0.000000
567,3544800,1.736189,,,0.000000
574,3588400,1.714609,,,0.000000
581,3632000,1.694830,,,0.000000
588,3675600,1.676256,,,0.000000
595,3719200,1.656750,,,0.000000
602,3762800,1.638369,,,0.000000
609,3806400,1.618272,,,0.000000
616,3850000,1.703015,,,0.000000
623,3894800,1.573858,,,0.000000
630,3938400,1.560200,,,0.000000
637,3982000,1.527474,,,0.000000
644,4025600,1.514981,,,0.000000
651,4069200,1.496396,,,0.000000
658,4112800,1.475594,,,0.000000
665,4156400,1.468660,,,0.000000
672,4200000,1.637247,,,0.000000
679,4244800,1.405881,,,0.000000
686,4288400,1.382729,,,0.000000
693,4332000,1.368391,,,0.000000
700,4375600,1.351530,,,0.000000
707,4419200,1.331509,,,0.000000
714,4462800,1.318056,,,0.000000
721,4506400,1.302155,,,0.000000
728,4550000,1.448156,,,0.000000
735,4594800,1.243912,,,0.000000
742,4638400,1.231015,,,0.000000
749,4682000,1.207265,,,0.000000
756,4725600,1.187888,,,0.000000
763,4769200,1.169573,,,0.000000
770,4812800,1.148883,,,0.000000
777,4856400,1.138092,,,0.000000
781,4882000,1.110837,,,0.000000
