round,grad_computations,train_loss,drift,grad_norm,h_label
0,0,4.606946,,,1.000000
39,49920,4.579376,,,1.000000
78,98640,4.510486,,,1.000000
117,147360,4.313941,,,1.000000
156,196080,4.015204,,,1.000000
195,244800,3.844988,,,1.000000
234,293520,3.732519,,,1.000000
273,342240,3.670663,,,1.000000
312,390960,3.565715,,,1.000000
351,439680,3.519154,,,1.000000
390,488400,3.494502,,,1.000000
429,537120,3.421451,,,1.000000
468,585840,3.332156,,,1.000000
507,634560,3.326212,,,1.000000
546,683280,3.246234,,,1.000000
585,732000,3.249037,,,1.000000
624,780720,3.188217,,,1.000000
663,829440,3.132979,,,1.000000
702,878160,3.100375,,,1.000000
741,926880,3.016176,,,1.000000
780,975600,3.001734,,,1.000000
819,1024320,2.990337,,,1.000000
858,1073040,2.924384,,,1.000000
897,1121760,2.877564,,,1.000000
936,1170480,2.883554,,,1.000000
975,1219200,2.773715,,,1.000000
1014,1267920,2.748711,,,1.000000
1053,1316640,2.800071,,,1.000000
1092,1365360,2.684427,,,1.000000
1131,1414080,2.634630,,,1.000000
1170,1462800,2.609381,,,1.000000
1209,1511520,2.586003,,,1.000000
1248,1560240,2.547837,,,1.000000
1287,1608960,2.507051,,,1.000000
1326,1657680,2.499533,,,1.000000
1365,1706400,2.436241,,,1.000000
1404,1755120,2.455354,,,1.000000
1443,1803840,2.399479,,,1.000000
1482,1852560,2.525695,,,1.000000
1521,1901280,2.703570,,,1.000000
1560,1950000,3.067816,,,1.000000
1599,1999920,2.423023,,,1.000000
1638,2048640,2.264601,,,1.000000
1677,2097360,2.278375,,,1.000000
1716,2146080,2.341978,,,1.000000
1755,2194800,2.159863,,,1.000000
1794,2243520,2.209715,,,1.000000
1833,2292240,2.101284,,,1.000000
1872,2340960,2.164103,,,1.000000
1911,2389680,2.117723,,,1.000000
1950,2438400,2.040567,,,1.000000
1989,2487120,2.011176,,,1.000000
2028,2535840,1.953399,,,1.000000
2067,2584560,1.928747,,,1.000000
2106,2633280,1.945021,,,1.000000
2145,2682000,1.913986,,,1.000000
2184,2730720,1.981986,,,1.000000
2223,2779440,1.896575,,,1.000000
2262,2828160,1.874154,,,1.000000
2301,2876880,1.776916,,,1.000000
2340,2925600,1.779333,,,1.000000
2379,2974320,1.720019,,,1.000000
2418,3023040,1.772804,,,1.000000
2457,3071760,1.732547,,,1.000000
2496,3120480,1.625287,,,1.000000
2535,3169200,1.629182,,,1.000000
2574,3217920,1.608347,,,1.000000
2613,3266640,1.605204,,,1.000000
2652,3315360,1.566385,,,1.000000
2691,3364080,1.540584,,,1.000000
2730,3412800,1.519399,,,1.000000
2769,3461520,1.505670,,,1.000000
2808,3510240,1.593559,,,1.000000
2847,3558960,1.458527,,,1.000000
2886,3607680,1.379539,,,1.000000
2925,3656400,1.549784,,,1.000000
2964,3705120,1.319097,,,1.000000
3003,3753840,1.406951,,,1.000000
3042,3802560,1.759466,,,1.000000
3081,3851280,1.736690,,,1.000000
3120,3900000,2.458858,,,1.000000
3159,3949920,1.218233,,,1.000000
3198,3998640,1.249867,,,1.000000
3237,4047360,1.097880,,,1.000000
3276,4096080,1.175650,,,1.000000
3315,4144800,1.058574,,,1.000000
3354,4193520,1.107478,,,1.000000
3393,4242240,1.008588,,,1.000000
3432,4290960,1.112982,,,1.000000
3471,4339680,1.080487,,,1.000000
3510,4388400,0.967917,,,1.000000
3549,4437120,0.978410,,,1.000000
3588,4485840,0.996204,,,1.000000
3627,4534560,0.919979,,,1.000000
3666,4583280,0.904021,,,1.000000
3705,4632000,0.835717,,,1.000000
3744,4680720,0.819829,,,1.000000
3783,4729440,0.836696,,,1.000000
3822,4778160,0.716168,,,1.000000
3861,4826880,0.748560,,,1.000000
3900,4875600,0.683538,,,1.000000
3906,4883280,0.686350,,,1.000000
