round,grad_computations,train_loss,drift,grad_norm,h_label,radius,ball_hits,mean_hit_step,cos_client,cos_agg,cos_client_exact
0,0,4.606456,,,0.000000,,,,,,
1,49920,4.576493,,,0.000000,,,,,,
2,98640,4.498339,,,0.000000,,,,,,
3,147360,4.241064,,,0.000000,,,,,,
4,196080,3.957586,,,0.000000,,,,,,
5,244800,3.823866,,,0.000000,,,,,,
6,293520,3.767727,,,0.000000,,,,,,
7,342240,3.674238,,,0.000000,,,,,,
8,390960,3.586117,,,0.000000,,,,,,
9,439680,3.524769,,,0.000000,,,,,,
10,488400,3.482491,,,0.000000,,,,,,
11,537120,3.419349,,,0.000000,,,,,,
12,585840,3.433663,,,0.000000,,,,,,
