round,grad_computations,train_loss,drift,grad_norm,h_label
0,0,4.610444,,,0.000000
39,49920,4.571251,,,0.000000
78,98640,4.463050,,,0.000000
117,147360,4.249858,,,0.000000
156,196080,4.049088,,,0.000000
195,244800,3.905634,,,0.000000
234,293520,3.753198,,,0.000000
273,342240,3.652586,,,0.000000
312,390960,3.604512,,,0.000000
351,439680,3.519933,,,0.000000
390,488400,3.460961,,,0.000000
429,537120,3.437472,,,0.000000
468,585840,3.490324,,,0.000000
507,634560,3.338245,,,0.000000
546,683280,3.270308,,,0.000000
585,732000,3.200240,,,0.000000
624,780720,3.189884,,,0.000000
663,829440,3.127137,,,0.000000
702,878160,3.064719,,,0.000000
741,926880,3.039969,,,0.000000
780,975600,2.978291,,,0.000000
819,1024320,2.945447,,,0.000000
858,1073040,2.918853,,,0.000000
897,1121760,2.866639,,,0.000000
936,1170480,2.838803,,,0.000000
975,1219200,2.836148,,,0.000000
1014,1267920,2.769028,,,0.000000
1053,1316640,2.755106,,,0.000000
1092,1365360,2.748183,,,0.000000
1131,1414080,2.680758,,,0.000000
1170,1462800,2.604854,,,0.000000
1209,1511520,2.603452,,,0.000000
1248,1560240,2.544742,,,0.000000
1287,1608960,2.541894,,,0.000000
1326,1657680,2.533416,,,0.000000
1365,1706400,2.466799,,,0.000000
1404,1755120,2.443624,,,0.000000
1443,1803840,2.449850,,,0.000000
1482,1852560,2.591751,,,0.000000
1521,1901280,2.773602,,,0.000000
1560,1950000,3.106394,,,0.000000
1599,1999920,2.335977,,,0.000000
1638,2048640,2.254841,,,0.000000
1677,2097360,2.246488,,,0.000000
1716,2146080,2.303014,,,0.000000
1755,2194800,2.205648,,,0.000000
1794,2243520,2.255863,,,0.000000
1833,2292240,2.229389,,,0.000000
1872,2340960,2.156442,,,0.000000
1911,2389680,2.082484,,,0.000000
1950,2438400,2.053998,,,0.000000
1989,2487120,2.170146,,,0.000000
2028,2535840,2.064575,,,0.000000
2067,2584560,2.013406,,,0.000000
2106,2633280,2.004573,,,0.000000
2145,2682000,2.016865,,,0.000000
2184,2730720,1.931813,,,0.000000
2223,2779440,1.946698,,,0.000000
2262,2828160,1.892265,,,0.000000
2301,2876880,1.933139,,,0.000000
2340,2925600,1.875846,,,0.000000
2379,2974320,1.890543,,,0.000000
2418,3023040,1.852528,,,0.000000
2457,3071760,1.785674,,,0.000000
2496,3120480,1.728164,,,0.000000
2535,3169200,1.725865,,,0.000000
2574,3217920,1.729394,,,0.000000
2613,3266640,1.677303,,,0.000000
2652,3315360,1.661496,,,0.000000
2691,3364080,1.603248,,,0.000000
2730,3412800,1.591965,,,0.000000
2769,3461520,1.585121,,,0.000000
2808,3510240,1.534703,,,0.000000
2847,3558960,1.549957,,,0.000000
2886,3607680,1.491995,,,0.000000
2925,3656400,1.454482,,,0.000000
2964,3705120,1.696658,,,0.000000
3003,3753840,1.520836,,,0.000000
3042,3802560,2.318462,,,0.000000
3081,3851280,2.575219,,,0.000000
3120,3900000,2.383552,,,0.000000
3159,3949920,1.377436,,,0.000000
3198,3998640,1.330758,,,0.000000
3237,4047360,1.424586,,,0.000000
3276,4096080,1.244543,,,0.000000
3315,4144800,1.213144,,,0.000000
3354,4193520,1.225563,,,0.000000
3393,4242240,1.259103,,,0.000000
3432,4290960,1.177371,,,0.000000
3471,4339680,1.129341,,,0.000000
3510,4388400,1.122440,,,0.000000
3549,4437120,1.111499,,,0.000000
3588,4485840,1.120782,,,0.000000
3627,4534560,1.104105,,,0.000000
3666,4583280,1.025834,,,0.000000
3705,4632000,1.098940,,,0.000000
3744,4680720,0.983926,,,0.000000
3783,4729440,1.108528,,,0.000000
3822,4778160,0.868734,,,0.000000
3861,4826880,0.957123,,,0.000000
3900,4875600,0.862337,,,0.000000
3906,4883280,0.904336,,,0.000000
